season,round,race_id,lap_number,driver_id,position,lap_time
2025,1,2025_1,24,antonelli,11,1:30.822
2025,1,2025_1,24,stroll,12,1:32.102
2025,1,2025_1,24,hulkenberg,13,1:32.469
2025,1,2025_1,24,bortoleto,14,1:32.369
2025,1,2025_1,24,lawson,15,1:32.155
2025,1,2025_1,24,ocon,16,1:33.048
2025,1,2025_1,24,bearman,17,1:33.042
2025,1,2025_1,25,norris,1,1:29.601
2025,1,2025_1,25,piastri,2,1:29.295
2025,1,2025_1,25,max_verstappen,3,1:30.845
2025,1,2025_1,25,russell,4,1:30.488
2025,1,2025_1,25,leclerc,5,1:30.251
2025,1,2025_1,25,tsunoda,6,1:31.380
2025,1,2025_1,25,albon,7,1:31.014
2025,1,2025_1,25,hamilton,8,1:30.860
2025,1,2025_1,25,gasly,9,1:31.622
2025,1,2025_1,25,alonso,10,1:31.761
2025,1,2025_1,25,antonelli,11,1:30.706
2025,1,2025_1,25,stroll,12,1:32.092
2025,1,2025_1,25,hulkenberg,13,1:31.975
2025,1,2025_1,25,bortoleto,14,1:32.235
2025,1,2025_1,25,lawson,15,1:31.959
2025,1,2025_1,25,ocon,16,1:32.538
2025,1,2025_1,25,bearman,17,1:32.613
2025,1,2025_1,26,norris,1,1:29.160
2025,1,2025_1,26,piastri,2,1:29.133
2025,1,2025_1,26,max_verstappen,3,1:30.293
2025,1,2025_1,26,russell,4,1:30.111
2025,1,2025_1,26,leclerc,5,1:30.340
2025,1,2025_1,26,tsunoda,6,1:31.205
2025,1,2025_1,26,albon,7,1:31.309
2025,1,2025_1,26,hamilton,8,1:31.302
2025,1,2025_1,26,gasly,9,1:30.928
2025,1,2025_1,26,alonso,10,1:31.343
2025,1,2025_1,26,antonelli,11,1:31.299
2025,1,2025_1,26,stroll,12,1:31.547
2025,1,2025_1,26,hulkenberg,13,1:31.810
2025,1,2025_1,26,bortoleto,14,1:31.425
2025,1,2025_1,26,lawson,15,1:31.129
2025,1,2025_1,26,ocon,16,1:32.540
2025,1,2025_1,26,bearman,17,1:32.577
2025,1,2025_1,27,norris,1,1:29.250
2025,1,2025_1,27,piastri,2,1:29.037
2025,1,2025_1,27,max_verstappen,3,1:29.731
2025,1,2025_1,27,russell,4,1:29.863
2025,1,2025_1,27,leclerc,5,1:30.563
2025,1,2025_1,27,tsunoda,6,1:31.066
2025,1,2025_1,27,albon,7,1:30.452
2025,1,2025_1,27,hamilton,8,1:30.755
2025,1,2025_1,27,gasly,9,1:30.635
2025,1,2025_1,27,alonso,10,1:30.895
2025,1,2025_1,27,antonelli,11,1:30.463
2025,1,2025_1,27,stroll,12,1:31.408
2025,1,2025_1,27,hulkenberg,13,1:31.118
2025,1,2025_1,27,bortoleto,14,1:31.406
2025,1,2025_1,27,lawson,15,1:31.094
2025,1,2025_1,27,ocon,16,1:32.302
2025,1,2025_1,27,bearman,17,1:32.507
2025,1,2025_1,28,norris,1,1:29.097
2025,1,2025_1,28,piastri,2,1:28.629
2025,1,2025_1,28,max_verstappen,3,1:29.411
2025,1,2025_1,28,russell,4,1:29.696
2025,1,2025_1,28,leclerc,5,1:29.723
2025,1,2025_1,28,tsunoda,6,1:30.709
2025,1,2025_1,28,albon,7,1:30.332
2025,1,2025_1,28,hamilton,8,1:30.143
2025,1,2025_1,28,gasly,9,1:30.382
2025,1,2025_1,28,alonso,10,1:30.652
2025,1,2025_1,28,antonelli,11,1:30.716
2025,1,2025_1,28,stroll,12,1:30.725
2025,1,2025_1,28,hulkenberg,13,1:30.801
2025,1,2025_1,28,bortoleto,14,1:30.755
2025,1,2025_1,28,lawson,15,1:31.084
2025,1,2025_1,28,ocon,16,1:32.210
2025,1,2025_1,28,bearman,17,1:34.505
2025,1,2025_1,29,norris,1,1:28.357
2025,1,2025_1,29,piastri,2,1:28.188
2025,1,2025_1,29,max_verstappen,3,1:29.043
2025,1,2025_1,29,russell,4,1:29.488
2025,1,2025_1,29,leclerc,5,1:29.492
2025,1,2025_1,29,tsunoda,6,1:30.031
2025,1,2025_1,29,albon,7,1:30.023
2025,1,2025_1,29,hamilton,8,1:30.127
2025,1,2025_1,29,gasly,9,1:30.051
2025,1,2025_1,29,alonso,10,1:29.718
2025,1,2025_1,29,antonelli,11,1:29.919
2025,1,2025_1,29,stroll,12,1:30.935
2025,1,2025_1,29,hulkenberg,13,1:30.378
2025,1,2025_1,29,bortoleto,14,1:31.329
2025,1,2025_1,29,lawson,15,1:30.803
2025,1,2025_1,29,ocon,16,1:33.743
2025,1,2025_1,29,bearman,17,1:31.267
2025,1,2025_1,30,norris,1,1:28.032
2025,1,2025_1,30,piastri,2,1:28.331
2025,1,2025_1,30,max_verstappen,3,1:28.237
2025,1,2025_1,30,russell,4,1:29.789
2025,1,2025_1,30,leclerc,5,1:29.367
2025,1,2025_1,30,tsunoda,6,1:30.184
2025,1,2025_1,30,albon,7,1:29.628
2025,1,2025_1,30,hamilton,8,1:29.737
2025,1,2025_1,30,gasly,9,1:30.124
2025,1,2025_1,30,alonso,10,1:29.374
2025,1,2025_1,30,antonelli,11,1:29.794
2025,1,2025_1,30,stroll,12,1:30.853
2025,1,2025_1,30,hulkenberg,13,1:30.691
2025,1,2025_1,30,bortoleto,14,1:31.146
2025,1,2025_1,30,lawson,15,1:31.312
2025,1,2025_1,30,ocon,16,1:31.501
2025,1,2025_1,30,bearman,17,1:31.377
2025,1,2025_1,31,norris,1,1:27.695
2025,1,2025_1,31,piastri,2,1:27.916
2025,1,2025_1,31,max_verstappen,3,1:28.127
2025,1,2025_1,31,russell,4,1:29.041
2025,1,2025_1,31,leclerc,5,1:29.546
2025,1,2025_1,31,tsunoda,6,1:30.082
2025,1,2025_1,31,albon,7,1:30.053
2025,1,2025_1,31,hamilton,8,1:30.422
2025,1,2025_1,31,gasly,9,1:29.299
2025,1,2025_1,31,alonso,10,1:28.850
2025,1,2025_1,31,antonelli,11,1:29.245
2025,1,2025_1,31,stroll,12,1:31.077
2025,1,2025_1,31,hulkenberg,13,1:30.071
2025,1,2025_1,31,bortoleto,14,1:30.446
2025,1,2025_1,31,lawson,15,1:31.649
2025,1,2025_1,31,ocon,16,1:31.624
2025,1,2025_1,31,bearman,17,1:31.257
2025,1,2025_1,32,norris,1,1:27.800
2025,1,2025_1,32,piastri,2,1:29.379
2025,1,2025_1,32,max_verstappen,3,1:28.208
2025,1,2025_1,32,russell,4,1:29.361
2025,1,2025_1,32,leclerc,5,1:29.337
2025,1,2025_1,32,tsunoda,6,1:30.492
2025,1,2025_1,32,albon,7,1:30.186
2025,1,2025_1,32,hamilton,8,1:30.234
2025,1,2025_1,32,gasly,9,1:29.383
2025,1,2025_1,32,alonso,10,1:28.819
2025,1,2025_1,32,antonelli,11,1:29.032
2025,1,2025_1,32,stroll,12,1:30.657
2025,1,2025_1,32,hulkenberg,13,1:30.109
2025,1,2025_1,32,bortoleto,14,1:29.830
2025,1,2025_1,32,lawson,15,1:33.760
2025,1,2025_1,32,ocon,16,1:31.155
2025,1,2025_1,32,bearman,17,1:31.300
2025,1,2025_1,33,norris,1,1:27.495
2025,1,2025_1,33,piastri,2,1:28.226
2025,1,2025_1,33,max_verstappen,3,1:28.046
2025,1,2025_1,33,russell,4,1:30.553
2025,1,2025_1,33,leclerc,5,1:33.966
2025,1,2025_1,33,tsunoda,6,1:50.651
2025,1,2025_1,33,albon,7,1:50.179
2025,1,2025_1,33,hamilton,8,1:50.479
2025,1,2025_1,33,gasly,9,1:51.300
2025,1,2025_1,33,antonelli,10,1:52.635
2025,1,2025_1,33,stroll,11,2:02.766
2025,1,2025_1,33,hulkenberg,12,2:05.643
2025,1,2025_1,33,bortoleto,13,2:10.326
2025,1,2025_1,33,ocon,14,1:55.932
2025,1,2025_1,33,lawson,15,2:08.342
2025,1,2025_1,33,bearman,16,1:57.148
2025,1,2025_1,34,norris,1,2:02.273
2025,1,2025_1,34,piastri,2,2:07.025
2025,1,2025_1,34,max_verstappen,3,2:08.598
